Date,Artist,Song
January 30,CNBLUE,I'm Sorry
February 06,CNBLUE,I'm Sorry
February 13,CNBLUE,I'm Sorry
February 20,Sistar19,Gone Not Around Any Longer
February 27,Shinee,Dream Girl
March 06,Shinee,Dream Girl
March 13,Shinee,Dream Girl
March 20,Shinee,Dream Girl
March 27,2AM,One Spring Day
April 03,Infinite,Man In Love
April 10,Davichi,Turtle
April 17,K.Will,Love Blossom
April 24,K.Will,Love Blossom
May 01,Cho Yong-pil,Hello
May 08,4Minute,What's Your Name?
May 15,4Minute,What's Your Name?
May 22,4Minute,What's Your Name?
May 29,Shinhwa,This Love
June 05,Shinhwa,This Love
June 12,Lee Hyori,Bad Girls
June 19,Exo,Wolf
June 26,Sistar,Give It to Me
July 10,Dynamic Duo,BAAAM
July 17,Apink,No No No
July 24,Ailee,U&I
July 31,Infinite,Destiny
August 07,f(x),Rum Pum Pum Pum
August 21,Exo,Growl
August 28,Exo,Growl
September 04,Exo,Growl
September 11,Teen Top,Rocking
September 18,Kara,Damaged Lady
September 25,Kara,Damaged Lady
October 02,Busker Busker,"Love, at first"
October 09,Busker Busker,"Love, at first"
October 16,IU,The Red Shoes
October 23,Shinee,Everybody
October 30,Shinee,Everybody
November 06,Trouble Maker,Now
November 13,Miss A,Hush
November 20,Trouble Maker,Now
December 04,Hyolyn,One Way Love
December 18,Exo,Miracles in December
